State,District,City,State_Encoded
Karnataka,Uttara Kannada,Ambikanagara,16
Chhattisgarh,Surguja,Ambikapur,6
Assam,Cachar,Ambikapur Part-X,3
Maharashtra,Raigarh,Ambivali Tarf Wankhal,20
Tamil Nadu,Vellore,Ambur,30
Rajasthan,Rajsamand,Amet,28
Uttar Pradesh,Lucknow,Amethi,32
Uttar Pradesh,Sultanpur,Amethi,32
Assam,Sibsagar,Amguri,3
Uttar Pradesh,Mau,Amila,32
Uttar Pradesh,Azamgarh,Amilo,32
Uttar Pradesh,Baghpat,Aminagar Sarai,32
Uttar Pradesh,Meerut,Aminagar Urf Bhurbaral,32
Lakshadweep *,Lakshadweep,Amini,18
West Bengal,Barddhaman,Amkula,34
Madhya Pradesh,Betul,Amla,19
Jharkhand,Bokaro,Amlabad,15
Madhya Pradesh,Shahdol,Amlai,19
Dadra & Nagar Haveli *,Dadra & Nagar Haveli,Amli,7
Punjab,Fatehgarh Sahib,Amloh,27
Tamil Nadu,Dindigul,Ammainaickanur,30
Tamil Nadu,Erode,Ammapettai,30
Tamil Nadu,Thanjavur,Ammapettai,30
Tamil Nadu,Thiruvallur,Ammavarikuppam,30
Tamil Nadu,Vellore,Ammoor,30
West Bengal,Hugli,Amodghata,34
Uttar Pradesh,Kanpur Dehat,Amraudha,32
Maharashtra,Amravati,Amravati,20
Gujarat,Amreli,Amreli,11
Punjab,Amritsar,Amritsar,27
Punjab,Amritsar,Amritsar Cantt.,27
Uttar Pradesh,Jyotiba Phule Nagar,Amroha,32
West Bengal,South Twentyfour Parganas,Amtala,34
Tamil Nadu,Coimbatore,Anaimalai,30
Tamil Nadu,Madurai,Anaiyur,30
Tamil Nadu,Virudhunagar,Anaiyur,30
Andhra Pradesh,Visakhapatnam,Anakapalle,1
Tamil Nadu,Kancheepuram,Anakaputhur,30
Gujarat,Anand,Anand,11
Assam,Dhubri,Anand Nagar,3
Orissa,Kendujhar,Anandapur,25
Uttar Pradesh,Maharajganj,Anandnagar,32
